u,v,key,length,highway,name
149544566,149544570,0,184.5742415655836,residential,Leopold Street
149544570,149544581,0,77.2533037997183,residential,Leopold Street
149544570,149544566,0,184.5742415655836,residential,Leopold Street
149544570,150069020,0,91.088893454365,service,Unnamed
149544581,149544570,0,77.25330379971831,residential,Leopold Street
149547347,149547350,0,177.14555860795588,residential,West Whittier Street
149547347,8646932281,0,65.68037118112596,secondary,South Presa Street
149547347,149944938,0,23.86372151442981,secondary,South Presa Street
149547350,3836497954,0,15.774316508459437,residential,West Whittier Street
149547350,149547347,0,177.14555860795588,residential,West Whittier Street
149547350,149885700,0,108.93599609322786,residential,Hunstock Avenue
149547354,1584262935,0,33.40503345955999,residential,West Whittier Street
149547354,1672914378,0,54.217115743705655,residential,West Whittier Street
149547354,3576188227,0,37.79649915938905,residential,Roosevelt Avenue
149547354,149885702,0,108.40359279195445,residential,Roosevelt Avenue
149547497,6640055453,0,17.916914680268665,residential,Lexington Avenue
149547497,10790141182,0,51.09631815896648,service,Kerr
149547497,6640055458,0,15.552358996007024,service,Unnamed
149547497,1438069037,0,44.86956019289715,residential,Lexington Avenue
149547498,8548195216,0,2.787337169889614,residential,Baltimore Avenue
149547498,9578438339,0,18.17705727351165,residential,Baltimore Avenue
149547498,9578438341,0,40.637972495787245,service,Kerr
149550283,11007098915,0,38.15269539981251,residential,Old Guilbeau Street
149550283,6032534893,0,13.928977164318706,secondary,South Flores Street
149550283,1439843552,0,54.36473944151974,secondary,South Flores Street
149550285,11257731710,0,8.941234689976325,residential,Old Guilbeau Street
149550285,11257695384,0,8.628348029664139,residential,Old Guilbeau Street
149550285,11257731696,0,7.926971672329865,tertiary,South Main Street
149550285,11257731705,0,8.100134024324362,tertiary,South Main Street
149550287,11257731695,0,13.54145319136256,residential,Old Guilbeau Street
149550287,149550292,0,5.026254887532416,tertiary,Dwyer Avenue
149550287,8292722934,0,40.72261847739524,tertiary,Dwyer Avenue
149550292,11257731681,0,8.129051913898586,residential,Old Guilbeau Street
149550292,9578159681,0,31.73377908212511,tertiary,Dwyer Avenue
149550292,149550287,0,5.026254887532416,tertiary,Dwyer Avenue
149550294,8292722926,0,52.79505939881087,residential,Old Guilbeau Street
149550294,11257695350,0,109.06222890818236,residential,Aubrey Street
149550294,2339342100,0,81.168003360667,footway,Unnamed
149551334,6457167568,0,50.18217061980446,residential,Barrera Street
149551334,149780844,0,58.9745830477954,secondary,South Alamo Street
149551334,9335008233,0,60.16441404851531,secondary,South Alamo Street
149551336,149551337,0,153.53374029630766,residential,Barrera Street
149551336,6457167571,0,48.625962709379614,residential,Barrera Street
149551336,149698540,0,71.12106964245275,residential,Matagorda Street
149551336,149895633,0,59.65401523880273,residential,Matagorda Street
149551337,149551336,0,153.53374029630766,residential,Barrera Street
149551337,149698546,0,40.727125222223066,residential,Indianola Street
149551337,149895635,0,59.52297071029626,residential,Indianola Street
149551337,9934583851,0,122.05065512707037,residential,Barrera Street
149551351,9934583858,0,43.850246528238245,residential,Barrera Street
149551351,7679034661,0,34.45495909709416,residential,Refugio Street
149551351,149840434,0,117.36491618367036,residential,Labor Street
149551351,7679034655,0,61.85636863891923,residential,Labor Street
149554277,149581287,0,33.40735706406946,residential,6th Street
149554578,11117749679,0,9.274209825195756,residential,Jack White Way
149554578,9325429351,0,42.00429594489681,residential,Villita Street
149554578,8297254182,0,85.74415488455271,residential,Villita Street
149554584,11117749699,0,13.173777928283267,tertiary,East Nueva Street
149554584,11117749692,0,11.521853439184492,tertiary,East Nueva Street
149554584,11117749682,0,15.97778791131594,residential,Jack White Way
149556394,149556396,0,151.33980745229908,service,Garfield Alley
149556394,6457168418,0,21.038105868558393,residential,Matagorda Street
149556394,6457168420,0,38.62613638480552,service,Unnamed
149556394,149780875,0,60.014371193875704,residential,Matagorda Street
149556396,1669841786,0,160.3317681465547,service,Garfield Alley
149556396,149556394,0,151.33980745229908,service,Garfield Alley
149556396,149780872,0,60.236994090858644,residential,Indianola Street
149556396,149937545,0,13.016531576057393,residential,Indianola Street
149556709,11257930136,0,6.407530187397511,residential,Wickes Street
149556709,149937921,0,4.557649985421401,secondary,South Alamo Street
149556709,11257930130,0,126.7508022291727,secondary,South Alamo Street
149556713,149604637,0,82.48006458576019,residential,Forcke Avenue
149556713,149556715,0,138.8767599160219,residential,Wickes Street
149556713,11257930136,0,156.83796907803378,residential,Wickes Street
149556715,149556719,0,297.53375263757493,residential,Wickes Street
149556715,149556713,0,138.8767599160219,residential,Wickes Street
149556715,149853408,0,64.03561094240888,residential,Stieren Street
149556715,149700499,0,84.3975908127033,residential,Stieren Street
149556719,149556720,0,185.558898624017,residential,Wickes Street
149556719,149630714,0,56.80146072462603,residential,Barbe Street
149556719,149630712,0,85.63170924107467,residential,Barbe Street
149556719,149556715,0,297.53375263757493,residential,Wickes Street
149556720,149556719,0,185.558898624017,residential,Wickes Street
149556720,1436939331,0,54.03503986730076,tertiary,Eagleland Drive
149556720,6687239992,0,5.727442460866342,tertiary,Eagleland Drive
149557603,6684240313,0,85.32228094738404,residential,Clay Street
149557603,149964560,0,42.833586643673435,secondary,South Flores Street
149557603,8646900376,0,36.30758962484539,secondary,South Flores Street
149557610,8293084695,0,45.774047486565614,residential,Clay Street
149557610,8293084698,0,26.320061570305377,residential,Clay Street
149557610,6451324734,0,67.41309938476816,service,Unnamed
149557614,149557619,0,32.53850654550384,residential,Clay Street
149557614,6451324996,0,85.9211410585288,residential,Clay Street
149557614,6451324996,1,217.3761389952495,service,Unnamed
149557619,7868232818,0,42.54800090274759,residential,Clay Street
149557619,150015999,0,83.45774994841172,residential,Peters Court
149557619,149557614,0,32.53850654550384,residential,Clay Street
149557622,6451324783,0,49.40636001674853,residential,Clay Street
149557622,149788000,0,55.54509996885984,secondary,Probandt Street
149557622,8648193489,0,43.54053738894186,secondary,Probandt Street
149560627,7679034655,0,59.71534179833614,residential,Labor Street
149560627,1669841786,0,62.26530563878181,residential,Labor Street
149560627,2551997653,0,72.36042338157597,residential,Santos Street
149560627,9934555860,0,65.19959232965093,residential,Lavaca Street
149576894,11390818176,0,6.493529042687882,primary,West Market Street
149576900,5745892180,0,3.995265749455523,pedestrian,Dolorosa Street
149576900,149576894,0,50.49223850955279,tertiary,Main Plaza
149576900,149532186,0,65.09633043408779,pedestrian,Dolorosa Street
149576904,8297254178,0,42.39846371898174,tertiary,Main Plaza
149576904,8297254182,0,35.82685826797137,residential,Villita Street
149576906,1161027592,0,50.63846772236934,tertiary,Main Plaza
149576906,2831912512,0,11.63797203615419,tertiary,Dwyer Avenue
149576906,149969606,0,78.60295179730446,tertiary,East Nueva Street
149576906,2831912540,0,11.273858911077369,tertiary,East Nueva Street
149577646,149785807,0,63.13336333822662,residential,South Leona Street
149577646,6637096122,0,10.735684210396748,secondary,South Pecos-La Trinidad
149577648,149577650,0,83.85952947335235,secondary,South Pecos-La Trinidad
149577650,149525975,0,17.952836148263927,secondary,South Pecos-La Trinidad
149577650,149937866,0,108.88975545908028,secondary,South Alamo Street
149579449,149538263,0,98.82426867271577,residential,Woodrow Street
149579449,150046580,0,52.330266302333904,residential,Oelkers Street
149579449,149824353,0,89.42252700962032,residential,Oelkers Street
149580368,149718966,0,26.667719741576125,secondary,South Flores Street
149580368,8186417403,0,61.120593515732764,secondary,South Flores Street
149580368,149580370,0,189.36680753284264,residential,Furnish Avenue
149580370,149709692,0,85.45075162994733,residential,Mockert Street
149580370,149580375,0,184.70219607044086,residential,Furnish Avenue
149580370,149580368,0,189.36680753284264,residential,Furnish Avenue
149580375,149580380,0,109.01600605442937,residential,Furnish Avenue
149580375,149580370,0,184.70219607044086,residential,Furnish Avenue
149580375,149542338,0,85.94963524300354,residential,Halstead
149580380,149517408,0,178.4324129255878,residential,Furnish Avenue
149580380,149755205,0,63.915164390684296,secondary,Nogalitos Street
149580380,149580375,0,109.01600605442937,residential,Furnish Avenue
149580380,149862663,0,83.79491999224808,secondary,Nogalitos Street
149581286,11115173709,0,12.943437118385795,residential,6th Street
149581286,11115173712,0,10.623338765617397,tertiary,Avenue E
149581286,11115173710,0,9.729566477540907,tertiary,Avenue E
149581286,11115173714,0,8.988782469946173,residential,6th Street
149581287,11115173714,0,60.25837078951374,residential,6th Street
149581287,7162482548,0,39.005486172562044,residential,Elm Street
