u,v,key,length,highway,name
149453891,8647812055,0,20.645538071474743,residential,Unnamed
149453891,8647812051,0,38.768061968873965,secondary,Somerset Road
149453891,150016495,0,16.487026015506768,secondary,Somerset Road
149453893,8647812055,0,68.76404615529681,residential,Unnamed
149454191,149454194,0,53.850474255374465,service,Unnamed
149454191,149560830,0,63.240153080917054,service,Unnamed
149454191,149565420,0,170.5296290981988,service,Unnamed
149454194,149565411,0,55.034148551734454,service,Unnamed
149454194,149454201,0,126.05838752342848,service,Unnamed
149454194,149454191,0,53.850474255374465,service,Unnamed
149454201,149454203,0,15.030874996171503,service,Unnamed
149454201,149454194,0,126.05838752342848,service,Unnamed
149454201,149560830,0,229.15566394840107,service,Unnamed
149454203,149454201,0,15.030874996171503,service,Unnamed
149454203,149664830,0,107.21144543721584,"['service', 'residential']",Eaglerock Drive
149454203,149565411,0,162.1127716115439,service,Unnamed
149455598,149466465,0,506.10796557822675,motorway,Cleto Rodriguez Freeway
149455613,7783044023,0,268.4915074328572,secondary,West US Highway 90
149459477,149459487,0,367.14560865867276,motorway_link,Unnamed
149459477,149663098,0,1382.2368883421534,motorway,Cleto Rodriguez Freeway
149459487,149459514,0,250.93933449101587,motorway_link,Unnamed
149459487,149459495,0,325.96082351436775,motorway_link,Unnamed
149459495,149459502,0,137.71933821012016,motorway_link,Unnamed
149459502,149543481,0,66.16189212828809,secondary,South General McMullen Drive
149459506,5230016890,0,78.00652979255294,motorway_link,Unnamed
149459510,1326253789,0,298.04597605054715,motorway_link,Unnamed
149459510,149459506,0,326.3902100561387,motorway_link,Unnamed
149459514,149459510,0,99.14490781977011,motorway_link,Unnamed
149461891,149491205,0,1379.819683099753,motorway,Connally Loop
149461891,149461893,0,186.49889332041815,motorway_link,Unnamed
149461893,149906662,0,45.71566979607451,secondary,Southwest Loop 410
149462087,2487594371,0,91.43780884180694,service,Unnamed
149462087,2487594371,1,152.909917430054,service,Unnamed
149462087,149478198,0,185.99555218737456,service,Unnamed
149462557,149462559,0,214.99387941380726,motorway_link,Unnamed
149462557,149488108,0,870.861229554439,motorway,South Pan Am Expressway
149462559,2502380122,0,178.7944230637367,secondary,Interstate 35 South
149462568,7743475337,0,24.345161043310114,primary,New Laredo Highway
149462665,621238859,0,240.3131247334871,motorway_link,Unnamed
149462665,149530354,0,195.77468378456018,secondary,Frio City Road
149462872,149497771,0,8.546898309879703,residential,Truemper Street
149462872,149753889,0,47.27291156330674,residential,Truemper Street
149462872,149462890,0,229.74128605876777,residential,Range Road
149462890,149462957,0,738.2369635002816,residential,Unnamed
149462890,149462957,1,844.6633561607468,residential,Range Road
149462890,149462872,0,229.74128605876777,residential,Range Road
149462957,149462890,0,738.2369635002814,residential,Unnamed
149462957,149462890,1,844.6633561607471,residential,Range Road
149462957,4351346371,0,106.86058140207078,residential,Range Road
149462969,8178358079,0,63.57082014098485,residential,Range Road
149462969,8178358093,0,28.175971033139398,service,Unnamed
149462969,4351346371,0,117.39173738852142,residential,Range Road
149466081,149488306,0,1105.2044747993696,motorway,South Pan Am Expressway
149466081,149462568,0,664.6146737868017,motorway_link,Unnamed
149467352,8295450782,0,101.46595889522021,secondary,Cupples Road
149467352,149467374,0,528.7367457615893,motorway_link,Unnamed
149467374,149512441,0,650.748572598965,motorway,Cleto Rodriguez Freeway
149467424,149914847,0,14.86421924756352,residential,Adalone Cove
149467436,149553996,0,8.74732976615372,residential,Lubbers Way
149467501,8185977350,0,18.353745533225656,residential,Private Road
149468251,292671831,0,648.7773676423897,motorway,Cleto Rodriguez Freeway
149468439,11000991775,0,25.980247032104497,service,Unnamed
149468439,149574424,0,10.421808274074273,tertiary,West Malone Avenue
149468439,149849952,0,122.2581063811611,tertiary,West Malone Avenue
149468447,149523269,0,89.40023359790753,service,Unnamed
149468680,149468688,0,99.53030320010352,secondary,Southwest Loop 410
149468688,149468711,0,253.03664002226301,secondary_link,Unnamed
149468711,149494595,0,117.37840746799166,secondary,West US Highway 90
149469160,149468251,0,206.82918990219974,motorway,Cleto Rodriguez Freeway
149469178,149974857,0,195.6229622548234,secondary_link,Unnamed
149469178,1448545150,0,28.264383070211252,secondary_link,Unnamed
149469178,12265774281,0,46.71981985776635,secondary,Southwest Loop 410
149470176,149470178,0,71.7200370955444,residential,Unnamed
149470176,149638212,0,160.25276398727215,unclassified,Sam Houston Boulevard
149470176,8548904360,0,143.83282373432894,unclassified,Sam Houston Boulevard
149470178,149470176,0,71.7200370955444,residential,Unnamed
149470178,3627340582,0,30.297655025423563,residential,Raymond Medina Street
149470178,7825478442,0,164.6508759375315,residential,Raymond Medina Street
149470178,7825478442,1,336.8491295944582,service,Unnamed
149471470,583299123,0,61.52527893466968,secondary,West US Highway 90
149471507,1381596078,0,57.22560068878788,secondary,Historic Old Highway 90
149471507,1381596347,0,64.37678489749229,secondary,West US Highway 90
149473624,149473618,0,183.54001129416542,motorway_link,Unnamed
149475551,149459514,0,245.19754607857567,motorway_link,Unnamed
149475551,149459502,0,280.9706170206031,secondary,South General McMullen Drive
149475720,149572690,0,62.68679466301234,secondary,Interstate 35 South
149475720,4626655265,0,20.350717976123683,service,Unnamed
149476746,149476749,0,82.307206565951,residential,Unnamed
149476749,149476746,0,82.307206565951,residential,Unnamed
149476749,149905684,0,13.542376552230609,residential,Briggs Avenue
149476749,6972571087,0,93.9780288067958,residential,Briggs Avenue
149476760,149476771,0,343.81080962258113,motorway_link,Unnamed
149476760,149516348,0,496.84383605061055,motorway,Cleto Rodriguez Freeway
149476771,149484815,0,124.26198127398075,motorway_link,Unnamed
149476771,149480304,0,46.26259639788036,motorway_link,Unnamed
149478198,149999521,0,54.869796854581814,service,Unnamed
149478198,149462087,0,185.99555218737456,service,Unnamed
149478198,2487594371,0,171.56736199853128,service,Unnamed
149478367,11998674125,0,14.786700253722005,secondary,Frio City Road
149478367,149462665,0,249.7894754723894,secondary,Frio City Road
149478378,2519341448,0,271.6392459068832,motorway_link,Unnamed
149478378,149553163,0,562.3444057996852,motorway,General Hudnell Drive
149478388,149508953,0,37.831873241214986,secondary,West US Highway 90
149478388,8180034154,0,316.90746296222005,residential,Airman Circle
149480153,149480155,0,44.32919541592684,residential,Unnamed
149480153,149870290,0,59.60464392220245,residential,Aiken Street
149480153,149744661,0,36.616583602562514,residential,Aiken Street
149480155,149480153,0,44.32919541592684,residential,Unnamed
149480304,2517594816,0,15.049747860560588,secondary,West US Highway 90
149480321,6915075428,0,23.30971277961541,secondary,West US Highway 90
149480321,6915075430,0,37.897652526466146,service,Unnamed
149483162,149461891,0,628.3024979808165,motorway,Connally Loop
149483162,12265755895,0,228.17863188374625,motorway_link,Unnamed
149484160,8220168939,0,22.19774507849052,residential,Habys Road
