u,v,key,osmid,highway,lanes,oneway,reversed,length,geometry,ref,name,bridge,maxspeed,service,access,tunnel,width
149460126,8189172350,0,15158284,residential,,False,False,39.08739324667715,"LINESTRING (-98.409372 29.463029, -98.4093676 29.4626775)",,Petroleum Drive,,,,,,
149460169,149512181,0,"[1065096729, 1054633347]",motorway_link,"['3', '2']",True,False,231.8407742931957,"LINESTRING (-98.478935 29.3979953, -98.4790005 29.3980702, -98.4790781 29.3981655, -98.4791729 29.3982908, -98.4792392 29.3983798, -98.4793103 29.3984768, -98.4793814 29.3985785, -98.479443 29.3986663, -98.479701 29.399083, -98.4797252 29.3991213, -98.47978 29.399208, -98.479797 29.399241, -98.480088 29.399816)",,,,,,,,
149462624,1672908190,0,"[15132210, 97902387, 97902380]",motorway_link,,True,False,606.5669982557458,"LINESTRING (-98.4806754 29.4215623, -98.4807378 29.4213114, -98.4807431 29.4210003, -98.4806923 29.4197927, -98.4806996 29.4192173, -98.4807352 29.4188422, -98.4808864 29.4181286, -98.4808969 29.4179083, -98.4809088 29.4177587, -98.4809053 29.4174614, -98.4808734 29.4169021, -98.4808648 29.4166946, -98.4808845 29.416129)",,,yes,,,,,
149462624,149462636,0,"[97902384, 97902379, 97902382]",motorway,4,True,False,726.8485257600929,"LINESTRING (-98.4806754 29.4215623, -98.4805806 29.4210418, -98.4805161 29.4204013, -98.480492 29.4198419, -98.480489 29.418986, -98.480489 29.41892, -98.4804884 29.4185891, -98.480486 29.417301, -98.480473 29.415035)",I 37;US 281,William J Bordelon Freeway,yes,65 mph,,,,
149462636,149500038,0,"[1135149585, 97902377, 97902375, 149880999]",motorway,"['4', '5']",True,False,424.548508038186,"LINESTRING (-98.480473 29.415035, -98.480472 29.414845, -98.4804701 29.4145892, -98.4804675 29.4142536, -98.4804645 29.4138532, -98.480463 29.413655, -98.4804558 29.4130656, -98.4804221 29.4127302, -98.4803761 29.4124389, -98.4802878 29.412029, -98.480095 29.411246)",I 37;US 281,William J Bordelon Freeway,yes,65 mph,,,,
149466472,149551284,0,"[1327641548, 97722165, 97722158]",tertiary,,False,True,74.61168639730522,"LINESTRING (-98.4567545 29.4021441, -98.4567475 29.402371, -98.4567474 29.4026304, -98.4567446 29.402815)",,South Gevers Street,yes,,,,,
149466472,149901957,0,1034114446,secondary,2,True,False,429.5739937783931,"LINESTRING (-98.4567545 29.4021441, -98.459001 29.402136, -98.4610927 29.4021351, -98.4611889 29.4021351)",,Interstate 10 East,,,,,,
149467040,1131435310,0,"[15126604, 97734911]",motorway_link,,True,False,332.19064355793876,"LINESTRING (-98.466219 29.402085, -98.467157 29.401989, -98.467637 29.401901, -98.467828 29.401851, -98.4686327 29.4016737, -98.4692983 29.4014961, -98.4695484 29.4014108)",,,yes,,,,,
149467040,149691149,0,181577745,secondary,2,True,False,156.36600082599034,"LINESTRING (-98.466219 29.402085, -98.467567 29.402091, -98.467833 29.402084)",,Interstate 10 East,,,,,,
149473540,149728884,0,169549409,unclassified,,False,True,40.20426913444515,"LINESTRING (-98.472863 29.4053106, -98.4732559 29.4051941)",,Aransas Avenue,,,,,,
